Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,BOT198,Bot 105 Supplemental Instruct,110,23
2023 - Fall,BOT310,General Plant Physiology,45,0
2023 - Fall,BOT330,Plant Ecology,66,1
2023 - Fall,BOT330L,Plant Ecology Lab,16,0
2023 - Fall,BOT350,Plant Taxonomy,97,10
2023 - Fall,BOT358,Biology of The Microfungi,21,3
2023 - Fall,BOT394,Forest Pathology,22,2
2023 - Fall,CD109Y,Amer Sign Language Level I,37,5
2023 - Fall,CD209,Middle Childhood Development,66,8
2023 - Fall,CD251,"Chldrn, Families and Their Com",14,0
2023 - Fall,CD253,Prenatal and Infant Developmen,15,1
2023 - Fall,CD257,Supervised Work W and  Childre,23,0
2023 - Fall,CD350,Life-Span Development,23,0
2023 - Fall,CD354,Methods of Observation,19,0
2023 - Fall,CD355,Language Development,20,1
2023 - Fall,CD362,Children and Stress,19,0
2023 - Fall,CD366,Exceptional Children and Famil,13,0
2023 - Fall,CD467,Working With Cult Diverse Fam,15,0
2023 - Fall,CD469W,Contemp Issues In Child Devlpm,16,0
2023 - Fall,CD479,Policy Analysis and Advocacy,23,1
2023 - Fall,CD499,Asl Internship,10,0
2023 - Fall,CHEM107,Fundamentals of Chemistry,111,18
2023 - Fall,CHEM109,General Chemistry,239,42
2023 - Fall,CHEM110,General Chemistry,99,18
2023 - Fall,CHEM198,Supplemental Instruction,106,22
2023 - Fall,CHEM228,Brief Organic Chemistry,68,14
2023 - Fall,CHEM310,Inorganic Chemistry I,27,2
2023 - Fall,CHEM324,Organic Chemistry I,56,13
2023 - Fall,CHEM324L,Organic Chemistry I Laboratory,53,3
2023 - Fall,CHEM341,Quantitative Analysis,20,3
2023 - Fall,CHEM361,Physical Chemistry I,14,0
2023 - Fall,CHEM370,Earth System Chemistry,15,1
2023 - Fall,CHEM434,Biochemistry I,16,0
2023 - Fall,CHEM434L,Biochemistry I Lab,16,2
2023 - Fall,CHEM438,Introductory Biochemistry,22,2
2023 - Fall,CHEM495,Undergraduate Research,13,0
2023 - Fall,COMM100,Fund Speech Comm,462,55
2023 - Fall,COMM103,Critical Listening and Thinkin,34,3
2023 - Fall,COMM105,Intro To Human Communication,28,2
2023 - Fall,COMM108,Oral Interpretation,23,1
2023 - Fall,COMM300,American Public Discourse,26,0
2023 - Fall,COMM309B,Gender and Communication,42,1
2023 - Fall,COMM312,Group Communication,23,3
2023 - Fall,COMM315,Communication and Soc. Advocac,17,3
2023 - Fall,COMM319W,Communication Research,14,2
2023 - Fall,COMM404,Theories of Comm Influence,21,1
2023 - Fall,CRGS108,"Pwr and Privilege, gen and Rac",60,7
2023 - Fall,CRGS235,Act To End Sexualized Violence,17,5
2023 - Fall,CRGS313,Community Activism,26,2
2023 - Fall,CRGS321,Trans* Lives and Theory,19,2
2023 - Fall,CRGS331,Radical Futures,33,4
2023 - Fall,CRGS360,"Race, Gender and Us Law",25,0
2023 - Fall,CRGS390,Theory and Methods,23,3
2023 - Fall,CRGS480,Radical Futures,11,0
2023 - Fall,CRIM125,Introduction To Cjs,13,3
2023 - Fall,CRIM225S,Inequalities and Crime,18,3
2023 - Fall,CRIM325W,Law and Society,20,1
2023 - Fall,CRIM410,Criminology Theory,15,0
2023 - Fall,CRIM455,"Policing Bodies,  Race and Rio",16,0
2023 - Fall,CS100,Critical Thinking W and  Compu,22,4
2023 - Fall,CS111,Computer Science Foundations 1,73,13
2023 - Fall,CS112,Computer Science Foundations 2,35,4
2023 - Fall,CS201,Requirements Engineering,11,2
2023 - Fall,CS211,Data Structures,37,0
2023 - Fall,CS243,Architecture,36,2
2023 - Fall,CS309,Computers and Social Change,51,1
2023 - Fall,CS312,Algorithms,23,2
2023 - Fall,CS325,Database Design,50,2
2023 - Fall,CS346,Telecommunications and Network,42,4
2023 - Fall,CS374,Operating Systems,35,2
2023 - Fall,CS458,Software Engineering,38,1
2023 - Fall,CS480,Mobile Apps,25,1
2023 - Fall,CS480L,Mobile Apps,25,1
2023 - Fall,DANC103,Modern I,19,3
2023 - Fall,DANC104,Modern II,17,2
2023 - Fall,DANC110,Ballet I,11,1
2023 - Fall,DANC241,Hip-Hop Dance,17,0
2023 - Fall,DANC243,Tap Dance,11,0
2023 - Fall,DANC245,Middle Eastern Dance,12,1
2023 - Fall,DANC247,Mexican Folklorico Dance,17,1
2023 - Fall,DANC303,Dance In World Cultures,18,0
2023 - Fall,DANC320,Jazz Dance Styles II,12,1
2023 - Fall,DANC350,Dance Science,16,0
2023 - Fall,DANC352,Bodyworks,13,0
2023 - Fall,DANC389,Choreography Workshop,12,0
2023 - Fall,DANC488,Dance Performance Ensemble,43,1
2023 - Fall,ECON104,Contemporary Topics In Econ,23,4
2023 - Fall,ECON210,Principles of Economics,49,9
2023 - Fall,ECON210L,Supplemental Instruction,14,0
2023 - Fall,ECON306W,Econ of The Developing World,17,2
2023 - Fall,ECON311,Intermed Macroeconomics,10,1
2023 - Fall,ECON423,Environmental and Nr Economics,61,1
