Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,PHYX495,Undergraduate Research,10,0
2023 - Fall,PSCI110,American Government,289,30
2023 - Fall,PSCI159,California Government,40,6
2023 - Fall,PSCI220,Intro To Political Theory,19,5
2023 - Fall,PSCI280,Core Discussion Seminar,11,0
2023 - Fall,PSCI295,Political Research and Analysi,14,1
2023 - Fall,PSCI305W,Food Politics,25,0
2023 - Fall,PSCI306,Environmental Politics,31,4
2023 - Fall,PSCI317,Policy Process,13,0
2023 - Fall,PSCI373,Polits. of Sustainable Society,21,2
2023 - Fall,PSCI414,Moot Court Competition,11,0
2023 - Fall,PSCI485W,Personhood and Citizenship,10,1
2023 - Fall,PSYC100,Psych of Critical Thinking,140,14
2023 - Fall,PSYC104,Intro Psychology,127,23
2023 - Fall,PSYC109,Intro Psychological Statistics,44,15
2023 - Fall,PSYC198,Supplemental Instruction,23,7
2023 - Fall,PSYC240,Understanding Research In Psyc,49,4
2023 - Fall,PSYC300,Psychology of Women,82,10
2023 - Fall,PSYC302,Psychology of Prejudice,20,2
2023 - Fall,PSYC306,Health Psychology,51,4
2023 - Fall,PSYC311,Human Development,46,1
2023 - Fall,PSYC321,Intro Behavioral Neuroscience,44,4
2023 - Fall,PSYC322,Learning and Motivation,47,6
2023 - Fall,PSYC323,Sensation and Perception,34,2
2023 - Fall,PSYC324,Cognitive Psychology,80,8
2023 - Fall,PSYC335,Social Psychology,40,3
2023 - Fall,PSYC336,Social Influence and Persuasio,26,5
2023 - Fall,PSYC337,Personality Theory and Researc,47,8
2023 - Fall,PSYC338,Abnormal Psychology,83,10
2023 - Fall,PSYC342W,App of Research Methods In Psy,24,2
2023 - Fall,PSYC345L,Psych Tests and Measurement,17,2
2023 - Fall,PSYC411,Social Neuroscience,17,4
2023 - Fall,PSYC415,Psych of Aging and Older Adult,12,2
2023 - Fall,PSYC436,Human Sexuality,15,1
2023 - Fall,PSYC454,Interviewing and Counslng Tech,50,8
2023 - Fall,PSYC473,Substance Use and Abuse,80,2
2023 - Fall,PSYC486,History and Systems of Psych,28,7
2023 - Fall,PSYC489S,Community Psychology,23,0
2023 - Fall,PSYC495,Research In Psych,32,0
2023 - Fall,PSYC497,Mentoring,18,0
2023 - Fall,REC100,Leisure In Society,40,6
2023 - Fall,REC220,Leisure Programming,19,1
2023 - Fall,REC252,"Diving 1st Aid, Hsu Div Intro",45,2
2023 - Fall,REC262,Beginning Scuba,25,4
2023 - Fall,REC302,Inclusive Recreation,58,5
2023 - Fall,REC320,"Organ, Admin, Facility Planing",11,1
2023 - Fall,REC330,Adventure Theory and Practice,18,1
2023 - Fall,REC383,Rescue Diver,15,0
2023 - Fall,REC471,Scientific Diving,28,0
2023 - Fall,REC472,"Leadership Diving,  Asst. Inst",13,1
2023 - Fall,RRS306,Wildland Resource Principles,43,3
2023 - Fall,RRS375,Vegetation Analysis and Health,23,3
2023 - Fall,RRS430,Wildland Restoration and Devel,24,0
2023 - Fall,RS105,World Religions,87,10
2023 - Fall,RS120,Exploring Religion,23,7
2023 - Fall,RS300W,"Living Myths,  War and Peace",41,6
2023 - Fall,RS305W,"Yoga,  Spirit, Practice, Healt",28,2
2023 - Fall,RS394,Orthodox Christian Weekend,45,13
2023 - Fall,SCI100,Becoming A Stem Professional,413,60
2023 - Fall,SOC104,Introductory Sociology,32,2
2023 - Fall,SOC225S,Social Issues and Action,12,0
2023 - Fall,SOC282L,Sociological Statistics Lab,30,1
2023 - Fall,SOC303,Race and Inequality,22,6
2023 - Fall,SOC303M,Race and Inequality For Majors,11,3
2023 - Fall,SOC306,The Changing Family,12,0
2023 - Fall,SOC310W,Sociological Theory,12,0
2023 - Fall,SOC316,Gender and Society,15,2
2023 - Fall,SOC363,Environmental Crime,26,1
2023 - Fall,SOC372,Proseminar,20,2
2023 - Fall,SOC382,Intro To Social Research,36,7
2023 - Fall,SOC410,Contemporary Social Theory,11,1
2023 - Fall,SOC472,Graduate School Planning,20,2
2023 - Fall,SOC475,Community Organizing,17,1
2023 - Fall,SOC482,Internship,14,1
2023 - Fall,SOIL260,Introduction To Soil Science,120,10
2023 - Fall,SOIL360,Origin and Classification Soil,18,0
2023 - Fall,SOIL363,Wetland Soils,24,0
2023 - Fall,SP117,College Seminar,27,1
2023 - Fall,SP121S,Issues In Com. Volunteering,41,4
2023 - Fall,SP310,Interdisciplinary Inquiry,20,0
2023 - Fall,SPAN105,Spanish Level I,34,8
2023 - Fall,SPAN106,Spanish Level II,34,8
2023 - Fall,SPAN108,Level III Heritage Speakers,10,0
2023 - Fall,SPAN370,Spanish Retreat and Seminar,25,3
2023 - Fall,STAT108,Elementary Statistics,151,23
2023 - Fall,STAT108I,Elementary Statistics Is,43,12
2023 - Fall,STAT109,Introductory Biostatistics,152,23
2023 - Fall,STAT323,Probability and Statistics,11,0
2023 - Fall,STAT333,Linear Regression Models and A,40,3
2023 - Fall,STAT8,Support For Stat 108i,43,12
2023 - Fall,SW101,Intro To Sw and Sw Institution,83,12
2023 - Fall,SW340,Intro To Social Work Methods,68,3
2023 - Fall,SW340L,Intro Social Work Methods Lab,68,3
2023 - Fall,SW350,Human Behavior and Soc Env I,68,2
2023 - Fall,SW355,Social Agency Experience,47,2
2023 - Fall,SW382,Social Work Research,70,4
2023 - Fall,SW442,Soc Wk and Community Justice,37,2
2023 - Fall,SW455,Social Work Field Experience,37,0
2023 - Fall,SW456,Field Experience Seminar,37,0
2023 - Fall,TA104,Story Through Word and Image,25,0
2023 - Fall,TA105,Acting I,19,5
2023 - Fall,TA106,Behind The Scenes In Theatre,28,5
2023 - Fall,TA315,Acting In Comedy,13,0
2023 - Fall,TA328,Production Practicum,38,0
2023 - Fall,TA331,Scenic Design and Art Directio,15,1
2023 - Fall,TA387,Patterning For Costumeandcospl,12,0
2023 - Fall,TA451,Principles of Stage Directing,14,1
2023 - Fall,WLDF111,Introduction To Wildlife,49,4
2023 - Fall,WLDF210,Intro To Wldlfe Conserv and Ad,72,13
2023 - Fall,WLDF244,Wildlife Policy and Animal Wel,74,9
2023 - Fall,WLDF301,Principles of Wldlfe Mngmnt,54,6
2023 - Fall,WLDF309,Case Studies In Environ Ethics,24,0
2023 - Fall,WLDF311,Wildlife Techniques,36,6
2023 - Fall,WLDF365,Ornithology I,48,4
2023 - Fall,WLDF422,Wildlife Mgmt (Mammals),44,0
2023 - Fall,WLDF423,Wildlife Mgmt (Nongame Wldf),49,1
2023 - Fall,WLDF460,Conservation Biology,45,0
2023 - Fall,WLDF468,Spatial Wildlife Ecology,11,0
2023 - Fall,WLDF475,Wildlife Ethology,43,1
2023 - Fall,WLDF478,Ecology Wildlife Populations,23,1
2023 - Fall,WLDF482,Wildlife Conclave,10,0
2023 - Fall,WLDF485,Senior Seminar Wildlife Mgmt,48,1
2023 - Fall,WLDF495W,Senior Project,38,2
2023 - Fall,WS106,Intro To Women's Studies,20,5
2023 - Fall,WS107,"Women, Culture, History",59,7
2023 - Fall,WS303,Third World Women's Movements,17,0
2023 - Fall,WS306,Sex and Clss and Cltr Intrnl S,15,4
2023 - Fall,WS309B,Gender and Communication,10,1
2023 - Fall,WSHD310,Hydrology and Watershed Mgmt,66,4
2023 - Fall,WSHD458,Climate Change and Land Use,24,0
2023 - Fall,ZOOL110,Introductory Zoology,92,23
2023 - Fall,ZOOL113,Human Physiology,16,1
2023 - Fall,ZOOL270,Human Anatomy,26,4
2023 - Fall,ZOOL310,Animal Physiology,52,8
2023 - Fall,ZOOL314,Invertebrate Zoology,39,0
2023 - Fall,ZOOL354,Herpetology,24,2
2023 - Fall,ZOOL356,Mammalogy,65,3
2023 - Fall,ZOOL370,Comp Anatomy of Vertebrates,28,7
