ISO 8601 Date Time,Top of Conservation High (ac-ft),Top of Conservation High (ac-ft) notes,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft-NGVD29),Elevation (ft-NGVD29) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs; 614 ft),Outflow (cfs; 614 ft) notes,Russian R @ Hopland (cfs; USGS),Russian R @ Hopland (cfs; USGS) notes,Precip @ Dam (in; 670 ft),Precip @ Dam (in; 670 ft) notes,Basin Precip,Basin Precip notes,Gross Pool,Gross Pool(elev),Russian R nr Ukiah (cfs),Russian R nr Ukiah (cfs) notes
2023-10-06T24:00:00-07:00,101681.25,0,86400,0,75799,0,741.88,0,82.34,0,156.41,0,145.1,0,0,0,-,-,116470,764.8,0.02,0
2023-10-07T24:00:00-07:00,100350,0,86400,0,75526,0,741.72,0,46.34,0,171.38,0,151.99,0,0,0,-,-,116470,764.8,0.02,0
2023-10-08T24:00:00-07:00,99018.75,0,86400,0,75254,0,741.56,0,50.92,0,175.94,0,158.12,0,0,0,-,-,116470,764.8,0.02,0
2023-10-09T24:00:00-07:00,97687.5,0,86400,0,74998,0,741.41,0,55.79,0,181,0,164.78,0,0.04,0,-,-,116470,764.8,0.02,0
2023-10-10T24:00:00-07:00,96356.25,0,86400,0,74743,0,741.26,0,61.84,0,181,0,167.43,0,0.16,0,-,-,116470,764.8,0.02,0
2023-10-11T24:00:00-07:00,95025,0,86400,0,74454,0,741.09,0,49.54,0,181,0,167.13,0,0.02,0,-,-,116470,764.8,0.02,0
2023-10-12T24:00:00-07:00,93693.75,0,86400,0,74182,0,740.93,0,58.1,0,184.88,0,167.86,0,0.01,0,-,-,116470,764.8,0.02,0
2023-10-13T24:00:00-07:00,92362.5,0,86400,0,73876,0,740.75,0,45.52,0,193.63,0,171.63,0,0,0,-,-,116470,764.8,0.02,0
2023-10-14T24:00:00-07:00,91031.25,0,86400,0,73553,0,740.56,0,41.69,0,197,0,175.04,0,0,0,-,-,116470,764.8,0.02,0
2023-10-15T24:00:00-07:00,89700,0,86400,0,73231,0,740.37,0,48.15,0,201.01,0,176.34,0,0,0,-,-,116470,764.8,0.04,0
2023-10-16T24:00:00-07:00,88368.75,0,86400,0,72893,0,740.17,0,39,0,205,0,182.79,0,0.01,0,-,-,116470,764.8,0.1,0
2023-10-17T24:00:00-07:00,87037.5,0,85200,0,72554,0,739.97,0,45.33,0,206.95,0,182.51,0,0.01,0,-,-,116470,764.8,0.18,0
2023-10-18T24:00:00-07:00,85706.25,0,84000,0,72284,0,739.81,0,83.98,0,210,0,181.79,0,0,0,-,-,116470,764.8,0.2,0
2023-10-19T24:00:00-07:00,84375,0,82800,0,71929,0,739.6,0,41.11,0,210.43,0,182.17,0,0,0,-,-,116470,764.8,0.21,0
2023-10-20T24:00:00-07:00,83043.75,0,81600,0,71608,0,739.41,0,67.3,0,218.77,0,187.58,0,0,0,-,-,116470,764.8,0.17,0
2023-10-21T24:00:00-07:00,81712.5,0,80400,0,71204,0,739.17,0,21.97,0,219,0,193.66,0,0,0,-,-,116470,764.8,0.11,0
2023-10-22T24:00:00-07:00,80381.25,0,79200,0,71069,0,739.09,0,153.11,0,219,0,204.52,0,1.02,0,-,-,116470,764.8,1.01,0
2023-10-23T24:00:00-07:00,79050,0,78000,0,70750,0,738.9,0,65.74,0,219,0,199.87,0,0.03,0,-,-,116470,764.8,1.79,0
2023-10-24T24:00:00-07:00,77718.75,0,76800,0,70397,0,738.69,0,48.09,0,217.48,0,197.95,0,0,0,-,-,116470,764.8,0.78,0
2023-10-25T24:00:00-07:00,76387.5,0,75600,0,70078,0,738.5,0,53.7,0,210,0,194.14,0,0.01,0,-,-,116470,764.8,0.54,0
2023-10-26T24:00:00-07:00,75056.25,0,74400,0,69727,0,738.29,0,40.56,0,205.1,0,192.03,0,0,0,-,-,116470,764.8,0.77,0
2023-10-27T24:00:00-07:00,73725,0,73200,0,69409,0,738.1,0,47.29,0,201,0,188.54,0,0.01,0,-,-,116470,764.8,0.92,0
2023-10-28T24:00:00-07:00,72393.75,0,72000,0,69091,0,737.91,0,47.86,0,201,0,188.87,0,0,0,-,-,116470,764.8,1.06,0
2023-10-29T24:00:00-07:00,71062.5,0,70800,0,68774,0,737.72,0,48.91,0,201,0,188.78,0,0,0,-,-,116470,764.8,1.18,0
2023-10-30T24:00:00-07:00,69731.25,0,69600,0,68458,0,737.53,0,49.1,0,201,0,188.85,0,0.01,0,-,-,116470,764.8,1.18,0
2023-10-31T24:00:00-07:00,68400,0,68410,0,68141,0,737.34,0,42.82,0,195.52,0,187.95,0,0,0,-,-,116470,764.8,1.18,0
