etag,kind,videoId,publishedAt,channelId,title,description,default_url,default_width,default_height,medium_url,medium_width,medium_height,high_url,high_width,high_height,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount
KfPe64zkgUp0rZ95gFhKV8gThSA,youtube#video,FzusDIyK6Mg,2022-05-10T19:51:35Z,UCg7Fdhrmwi8ZqakqiO3xPkg,New Virtual Dissection Table,"A new virtual dissection table is open for your exploration at the library! This Anatomage table, made possible by Cal Poly ...",https://i.ytimg.com/vi/FzusDIyK6Mg/default.jpg,120,90,https://i.ytimg.com/vi/FzusDIyK6Mg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FzusDIyK6Mg/hqdefault.jpg,480,360,HumboldtOnline,none,2022-05-10T19:51:35Z,1721,10
otBcE0BKFuEzIQHUQ7Ma75-iANU,youtube#video,5cTZFXTfZQo,2022-05-10T19:52:09Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Distinguished Faculty Lecture: Japanese Incarceration &amp; the Politics of Dreaming w/ Michihiro Sugata,"Excellence in Teaching Award recipient Michihiro Sugata presents: ""Japanese Incarceration and The Politics of Dreaming: How ...",https://i.ytimg.com/vi/5cTZFXTfZQo/default.jpg,120,90,https://i.ytimg.com/vi/5cTZFXTfZQo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5cTZFXTfZQo/hqdefault.jpg,480,360,HumboldtOnline,none,2022-05-10T19:52:09Z,170,2
PbVOs5ia_YwKl476iFJu0YtMxXQ,youtube#video,lies6wbrKCc,2022-03-17T01:14:44Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Spring Break 2022: Student Projects!,"From air filtration to an apocalypse computer, Lonny Grafman with Cal Poly Humboldt's Engineering Department walks you ...",https://i.ytimg.com/vi/lies6wbrKCc/default.jpg,120,90,https://i.ytimg.com/vi/lies6wbrKCc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lies6wbrKCc/hqdefault.jpg,480,360,HumboldtOnline,none,2022-03-17T01:14:44Z,288,7
Rz7WmhEZWT0WC3FnGdwS0y04P3M,youtube#video,02dnAkMHRYY,2022-01-31T23:56:04Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Meet the Students Helping Kelp Come Back,Cal Poly Humboldt graduate students Kalani Ortiz and Marzia Fattori are working to restore kelp populations throughout the North ...,https://i.ytimg.com/vi/02dnAkMHRYY/default.jpg,120,90,https://i.ytimg.com/vi/02dnAkMHRYY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/02dnAkMHRYY/hqdefault.jpg,480,360,HumboldtOnline,none,2022-01-31T23:56:04Z,652,11
li0HtamA6AQzK24JDX5333WX9-w,youtube#video,NwQu8Z6Z2rU,2022-01-12T00:52:54Z,UCg7Fdhrmwi8ZqakqiO3xPkg,HSU&#39;s 2022 Calendar,Watch your mailbox! These are dropping soon.,https://i.ytimg.com/vi/NwQu8Z6Z2rU/default.jpg,120,90,https://i.ytimg.com/vi/NwQu8Z6Z2rU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/NwQu8Z6Z2rU/hqdefault.jpg,480,360,HumboldtOnline,none,2022-01-12T00:52:54Z,245,11
g9YnlVb_1wuWCB0nQ44CeVGT5fA,youtube#video,7dIheA2l-38,2021-12-21T21:18:23Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Fall Commencement 2021,"To each new graduate, we thank you for what you brought to campus and we wish you the absolute best on your next adventure!",https://i.ytimg.com/vi/7dIheA2l-38/default.jpg,120,90,https://i.ytimg.com/vi/7dIheA2l-38/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7dIheA2l-38/hqdefault.jpg,480,360,HumboldtOnline,none,2021-12-21T21:18:23Z,176,4
5gxXmOmhn0JqLlf2ydYIoJPuZx0,youtube#video,TT1Ve-FN6Us,2021-12-21T21:03:11Z,UCg7Fdhrmwi8ZqakqiO3xPkg,A Mixed-media Masterclass,"The Art & Film department's Fall Open House was a delightful blend of perspectives, styles, and media.",https://i.ytimg.com/vi/TT1Ve-FN6Us/default.jpg,120,90,https://i.ytimg.com/vi/TT1Ve-FN6Us/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TT1Ve-FN6Us/hqdefault.jpg,480,360,HumboldtOnline,none,2021-12-21T21:03:11Z,79,2
fu56TOWr8WCPBu_-ShVqBG-5ZXw,youtube#video,qJVCeX-0taM,2021-12-08T23:42:41Z,UCg7Fdhrmwi8ZqakqiO3xPkg,May 2022 bring you joy with the people you love.,"Here's to bright, bold beginnings at Humboldt and beyond. From everyone at Humboldt State, warmest wishes for a magical ...",https://i.ytimg.com/vi/qJVCeX-0taM/default.jpg,120,90,https://i.ytimg.com/vi/qJVCeX-0taM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qJVCeX-0taM/hqdefault.jpg,480,360,HumboldtOnline,none,2021-12-08T23:42:41Z,2183,57
EVjY39F6DOvRc4tMFANjz3qb8P4,youtube#video,E2ahIKFLTys,2021-12-02T18:25:57Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Humboldt&#39;s Polytechnic Vision,Science with a soul: Humboldt is reimagining a polytechnic education.,https://i.ytimg.com/vi/E2ahIKFLTys/default.jpg,120,90,https://i.ytimg.com/vi/E2ahIKFLTys/mqdefault.jpg,320,180,https://i.ytimg.com/vi/E2ahIKFLTys/hqdefault.jpg,480,360,HumboldtOnline,none,2021-12-02T18:25:57Z,9340,138
nd5DNifh1GGppvsXdWj9bjR5Z9w,youtube#video,xu_cEv90a6k,2021-11-19T03:30:11Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Ellipsis... A physical theatre performance exploring the negative space,"A play about love, loss, personal triumph, transformation and how the interactions we have with family, friends and strangers ...",https://i.ytimg.com/vi/xu_cEv90a6k/default.jpg,120,90,https://i.ytimg.com/vi/xu_cEv90a6k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xu_cEv90a6k/hqdefault.jpg,480,360,HumboldtOnline,none,2021-11-19T03:30:11Z,1011,10
