date,datatype,station,attributes,value
2018-10-01T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",20.6
2018-10-01T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",13.9
2018-10-02T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",19.4
2018-10-02T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",13.3
2018-10-03T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",18.3
2018-10-03T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",12.8
2018-10-04T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",17.8
2018-10-04T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",12.2
2018-10-05T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",18.9
2018-10-05T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",13.3
2018-10-06T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",20.0
2018-10-06T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",13.9
2018-10-07T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",21.7
2018-10-07T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",14.4
2018-10-08T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",22.8
2018-10-08T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",15.0
2018-10-09T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",23.3
2018-10-09T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",15.6
2018-10-10T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",23.9
2018-10-10T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",16.1
2018-10-11T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",24.4
2018-10-11T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",16.7
2018-10-12T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",25.0
2018-10-12T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",16.1
2018-10-13T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",24.4
2018-10-13T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",15.6
2018-10-14T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",25.6
2018-10-14T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",15.6
2018-10-15T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",26.1
2018-10-15T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",16.7
2018-10-16T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",26.1
2018-10-16T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",15.6
2018-10-17T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",23.9
2018-10-17T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",14.4
2018-10-18T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",20.0
2018-10-18T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",13.3
2018-10-19T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",18.3
2018-10-19T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",12.8
2018-10-20T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",17.2
2018-10-20T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",12.2
2018-10-21T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",16.7
2018-10-21T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",11.7
2018-10-22T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",15.6
2018-10-22T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",11.1
2018-10-23T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",15.0
2018-10-23T00:00:00,TMIN,GHCND:USW00023272,",,W,2400",10.6
2018-10-24T00:00:00,TMAX,GHCND:USW00023272,",,W,2400",14.4
